[NAME Radiofyr_no]
##### [UNDEFINED *******,******]
[COLUMNS 
Lon:r  Lat:r Name:s]

[DATA]
 16.004503 78.103651 ADVENT-ADV
 23.221854 69.583929 ALTA-ATA        
 16.082897 69.171618 ANDØYA-AND         
 16.083990 69.171060 ANDØYA-OYA     
 05.104891 60.251919 ASKØY-ASK

 24.584617 70.042761 BANAK-BNK
 24.565425 70.103455 BANAK-BNA
 24.581157 70.035560 BANAK-BNK
 18.35109  69.02445  BARDUFOSS-BAR
 18.27582  69.03536  BARDUFOSS-BDF
 11.15440  59.50553  BERGERUD-BGU
 29.032179 70.522440 BERLEVÅG-BV
 08.133798 58.181462 BIRKELAND-BN
 19.05102  74.30070  BJØRNØYA-BJO
 14.215369 67.155977 BODØ-BDO
 14.214239 67.155849 BODØ-BOO
 10.20199  60.28184  BRANDBU-BBU
 05.180195 60.025670 BRATTA-BTA
 07.385229 63.050534 BREMSNES-BRS
 12.125163 65.272539 BRØNNØY-BNN
 29.443066 70.381421 BÅTSFJORD-BS
 05.483630 62.142708 BAATVIK-BVK

 08.281006 60.244143 DAGALI-DI
 10.064485 59.435972 DRAMMEN-DRA
 
 16.405417 68.272630 EVENES-EVD
 16.403023 68.292864 EVENES-EVS
 09.235631 61.042802 FAGERNES-FAG
 15.082561 67.155058 FAUSKE-FSK
 13.461268 67.093904 FLEINVÆR-FLV
 05.124390 60.184054 FLESLAND-FLS
 05.124892 60.180013 FLESLAND-FLE
 05.330995 61.210631 FLETEN-FT
 11.202638 63.273228 FLORNES-FLR
 05.005605 61.345868 FLORØ-FLO
 23.495622 70.431340 FORSØL-FOR
 05.090483 59.222137 FØYNO-FNO
 
 11.042791 60.113033 GARDERMOEN-GRM
 10.160793 63.250842 GRÅKALLEN-GRK
 02.1626   61.1254   GULLFAKS-GFC
 
 11.041263 60.490285 HAMAR-HAA
 23.412668 70.421528 HAMMERFEST-HMF
 22.075683 70.292324 HASVIK-HK
 07.1903   65.1933   HEIDRUN-HEI
 26.132197 71.034264 HELNES-OM
 21.001090 69.553498 HESTVIK-HTK
 11.16059  62.25574  HUMMELFJELL-HUM
 05.423845 61.543863 HØYNES-HNS
  
 13.36011  78.03408  ISFJORD-ISD
    
 -08.34331 70.57404  JAN MAYEN-JAN
 
 08.222450 60.031801 KALHOVD-KLD
 13.3602   78.0341   KAPP LINNE-KPL
 05.120610 59.204752 KARMØY-KRM
 07.125289 61.103888 KAUPANGER-KPG
 23.01227  69.01079  KAUTOKEINO-KNO
 29.520880 69.432565 KIRKENES-KIK
 07.483865 63.070543 KVERNBERGET-KVB

 13.173982 65.370308 LAKSFORS-LR
 09.174759 61.005872 LEIRIN-LL
 11.172239 64.262106 LEIRVIKA-LVK
 06.411257 58.041765 LISTA-LST
 15.240436 78.145904 LONGYEAR-LON
 06.52478  59.07545  LYSE-LSY

 10.383402 61.055926 MESNALI-MES
 13.183073 65.523964 MOSJØEN-MOS
 19.05470  68.59467  MÅLSELV-MLV

 11.483147 64.294193 NAMSOS-NMS
 07.1206   64.1616   NJORD-NJD
 11.512301 78.555666 NY ÅLESUND-NYA
 
 07.595650 58.082406 ODDERØY-ODR
 05.584837 60.130609 OMASTRAND-OMA
 02.4936   60.2930   OSEBERG_OBA

 11.332480 62.302187 RAMBU-RBU   
 04.505754 61.334643 REKSTEN-REK
 05.383084 59.075966 RENNESØY-RSY
 11.084832 64.501490 RØRVIK-RVK
 12.060188 67.313941 RØST-RS
 10.455185 59.224904 RYGGE-RYG

 13.381335 68.051546 SANDSUND-SAD
 28.041270 70.140332 SEIDA-SDA
 17.485709 69.094092 SENJA-SJA
 09.374820 60.005422 SIGDAL-SIG
 15.020573 68.344207 SKAGEN-SKG
 09.341304 59.111690 SKIEN-SKI
 23.410938 70.550154 SKIPSHOLMEN-SKP
 14.385728 68.091008 SKROVA-KN
 01.5431   58.2202   SLEIPNER A-SPA
 28.134862 71.044436 SLETTNES-SLT
 28.125776 71.052113 SLETTNES-SN
 02.0836   61.2700   SNORRE-SNR
 07.093507 61.090067 SOGNDAL-SOG
 05.382455 58.523021 SOLA-ZOL
 05.380694 58.523291 SOLA-SOA
 01.4950   61.1225   STATFJORD B LF6M
 06.220343 61.513910 STEGEN-STG
 12.281001 65.573753 STOKKA-STO
 05.203963 59.471443 STORD-STD
 13.460779 66.172485 STRØMMEN-STM
 13.26189  66.55373  STØTT-STT
 16.39454  77.52421  SVEA-SV
 07.542991 58.050419 SVENSHEIA-SVA
       
 09.253173 63.493073 TARVA-TAR
 06.544424 62.404742 TAUTRA-TAT
 10.52438  62.27419  TOLGA-TGA
 03.1937   56.3831   TOR-TR
 10.153336 59.100880 TORP-TOR
 18.594831 69.421004 TROMSØ-TRO
 10.532427 63.313313 TRONDHEIM-TRM
 10.160950 59.554504 TYRIFJORD-TRF
  
 02.5046   57.0640   ULA-ULA
 12.091038 65.380266 ULVINGEN-ULV
 09.344001 63.432204 UTHAUG-UTH
   
 06.38422  61.10214  VANGSNES-VNG
 13.182876 65.524571 VARDEFJELL-VFL
 05.374166 58.373782 VARHAUG-VAR
 31.025005 70.212752 VARDØ-VRD
 06.074716 62.334877 VIGRA-VGA
 06.022078 62.330368 VIGRA-VIA
 06.020391 62.330745 VIGRA-VIG
 05.074365 60.325615 VOLLO-VOO
 10.540151 63.271871 VÆRNES-VAE

 09.372536 63.405194 ØRLAND-ORL   

 23.00000  66.39295 ABALA
 15.34106  57.59119 ABAMA         
 15.52330  66.47060 ABAXI         
 17.05196  59.14163 ABENI     
 19.51204  64.00093 ACBAR 
 11.47190  59.12440 AKIBA
 20.54570  59.02520 ALAMI
 18.37064  59.15363 ALOLA
 23.16576  66.24223 ASKEB
 12.57405  56.07137 ASTOS
 
 18.42275  59.25202 BABAP
 13.11581  55.55484 BABSI
 17.56124  62.58200 BAKIL
 19.24570  61.21450 BAKLA
 13.93398  54.55000 BAKLI
 13.25371  55.02078 BALOX
 17.36225  58.42409 BALPA
 17.35250  59.44450 BALVI
 22.42374  65.27400 BASTI
 11.42545  57.28004 BEBSI
 16.13301  59.37442 BEDLA
 15.07503  57.21353 BEDOS
 14.48225  57.49203 BENGI
 15.24325  63.18377 BENKA
 22.18368  65.51271 BESLA
 13.36020  64.03310 BESLO
 24.08140  65.35340 BEXUL
 19.49270  62.24540 BODRI
 21.30211  65.38048 BOLPA

 12.48220  57.38420 CINDY

 20.27022  63.15207 DEDIT
 17.57240  60.38198 DEGAL
 12.20248  57.43410 DEGAV
 15.14435  59.57405 DEMOR
 15.01208  59.11310 DEPEX
 15.23017  56.40415 DERAX
 16.58274  62.13471 DETMO
 11.04086  57.35154 DETNA
 14.20390  54.55000 DETNI
 14.15517  58.36000 DETSO
 12.59588  55.91221 DETUS
 13.55364  57.12598 DEVNI
 17.18222  59.06578 DIGLI
 12.44008  55.09057 DISGO
 19.18060  60.02400 DODAM
 15.02340  63.03584 DOLAX
 
 19.37557  62.46540 EDAXA
 21.30534  65.09458 ELBOG
 18.46514  57.34035 ELKOM
 15.16241  58.05437 ELPAX
 16.58237  59.49280 ELTOK
 14.05392  55.24427 ELVIX
 19.06430  60.15080 EVLAN

 20.41098  63.35184 GADDE
 17.29426  58.59156 GALNU
 20.08248  62.60488 GALPI
 13.57184  58.10116 GALPO
 17.28033  58.59041 GALTA
 13.33576  56.34300 GAMVI
 19.34000  56.52170 GELDA
 14.12132  57.02226 GELMA
 17.06040  68.01390 GILEN
 12.30590  55.46360 GOLMI
 19.18092  67.43576 GOLUN
 13.02260  55.48220 GORAX
 14.51363  54.48009 GOSOT
 
 17.48479  57.54488 HANSA

 15.16330  54.55000 IBILA
 13.00230  65.23050 INTAR
 11.13170  57.39180 INVOL
 20.00390  62.49500 IRGAL

 14.26282  54.56577 KEKOV
 19.10330  60.28070 KELAS
 12.03150  58.14369 KELIN
 13.27138  56.07352 KEMAX
 15.08231  63.10522 KEKOS
 21.11500  54.11568 KETEL
 17.53130  57.26691 KINTI
 17.13465  60.04520 KOGAV
 16.48528  56.00000 KOLJA
 12.42540  55.29290 KOKAK
 14.56162  54.48597 KOLOB
 12.29640  56.08020 KOPIM
 20.40340  59.10580 KOSKA
 14.50120  58.07579 KOTAM
 12.19590  56.15380 KULUD

 13.17395  58.10098 LABAN
 15.56132  56.33178 LAGIS
 12.10379  57.46245 LALIL
 21.56533  65.48170 LAMOS
 21.02120  63.32190 LAMPI
 20.28435  63.54208 LAPIX
 20.10016  68.02026 LAPLA
 14.18197  58.55139 LAPSI
 16.30054  55.16273 LARMA
 12.27160  56.06480 LASGI
 12.00421  56.55421 LASLI
 16.36084  56.53010 LATVI
 12.97430  55.22250 LEBDA
 18.01011  60.19020 LENGO
 15.27390  56.19520 LIDNA
 12.40580  55.15110 LILBI
 17.24421  59.43283 LINSA
 11.29530  57.19050 LOBBI
 14.58051  62.57500 LOKNI
 18.00308  60.19036 LUMAX

 12.00490  56.22500 MADAG
 15.53041  56.35054 MADDE
 23.53320  66.44070 MAGON
 11.24250  57.25470 MAKUR
 13.02127  55.09458 MALIV
 12.24903  55.00590 MATEK
 13.36144  55.39405 MAXUM
 14.24308  60.01060 MEGEN
 15.55191  57.54253 MIKNA
 12.40210  55.53550 MISBI
 13.12101  56.38285 MISMA
 23.49100  68.10290 MISMO
 11.46100  59.07320 MOGLU
 15.04050  57.38467 MOKNI
 13.54212  63.19005 MOLBA
 12.16070  58.20400 MOLUD
 12.47170  55.02310 MOSAT
 12.47530  55.33100 MOSIN
 13.18501  58.31529 MOXAM

 14.11089  63.23472 NALOS
 22.34357  65.20139 NAREX
 16.44206  59.50442 NARIT
 12.13300  56.00210 NAROL
 18.27179  59.34091 NAXEL
 20.56285  58.54179 NEBSI
 14.53352  58.02162 NEGAS
 12.37312  58.15048 NEGIL
 20.34430  58.18160 NEKET
 19.15491  59.00000 NEKLA
 16.20501  57.13097 NESLI
 13.43592  58.20209 NEXIL
 18.17083  56.13433 NINTA
 12.53050  55.28570 NISLO
 13.19583  55.44468 NORVI
 17.15292  59.04220 NOSLI

 12.45410  55.05460 ODARU
 21.10220  68.49590 OGLAV
 19.27440  59.55590 OGLOB
 17.36180  61.58178 OKLEV
 15.10599  62.43349 OSLAV
 11.49225  59.05400 OSLOB
 11.41425  58.08063 OTGIL
 
 15.41161  59.12015 PELIT
 16.28405  58.16435 PELUP
 15.40340  66.38100 PENAX
 17.09461  55.38115 PENOR
 14.33499  59.48543 PEPIL
 16.22530  60.04340 PERAX
 13.57462  55.46364 PERRY
 12.01097  57.19470 PETAS
 17.51484  62.00470 PEVEL
 18.05550  58.29520 POBEL
 19.23330  59.58530 POKAS
 14.33613  64.49105 POKEN
 
 12.20035  57.11085 RANAV
 18.06512  63.48425 RASEN
 13.43650  56.45302 RASMU
 15.08262  54.55500 REDFI
 11.20580  59.06320 REGMA
 19.28212  65.10587 REKMI
 12.59220  55.59220 REKMO
 18.01294  60.22010 RESNA
 12.15430  62.08200 RIGNA
 19.24290  59.58150 RIKUM
 21.14315  65.13086 RISEM
 11.58450  57.02310 RISMA
 19.58578  66.44300 RIXAN
 20.19290  68.47280 RIXEM
 18.00063  58.11376 ROGMI
 12.11000  56.19010 ROKAM
 18.08318  57.58388 ROKEN
 18.44552  59.35039 ROKNI
 21.39493  65.44506 ROPAK
 20.47392  63.41586 ROSMO
 14.02002  56.33523 ROXEN
 19.43270  59.44590 RUNGA
 
 11.38338  58.10358 SABAK
 13.23103  54.55000 SALLO
 13.30043  55.15001 SIMEG
 18.45062  60.50442 SIRPI
 12.57280  58.55265 SIPSI
 12.03090  63.19510 SOLKA
 21.48220  65.58550 SONIN
 14.26495  58.45490 SONIX
 14.58511  57.27542 SONPA
 20.44258  64.14035 SOLPI
 20.00000  57.18000 SORLA
 13.25100  55.19293 SOROM
 13.56120  64.30020 SOVIL
 12.18260  59.57140 SUMAK
 12.30460  60.07390 SUTOK
 12.43100  61.09050 SUVAR
 
 15.55015  59.31090 TABUT
 17.18185  60.02547 TALEK
 14.06588  55.03188 TELMO
 20.41516  67.21503 TERPA
 14.14504  59.43135 TESDI
 15.52186  56.46181 TILSA
 19.18495  63.37262 TINDO
 16.17470  59.12187 TINKA
 16.19480  67.15430 TIPEL
 10.39070  56.53410 TIVOL
 12.03420  56.15360 TOBMI
 12.51324  57.45478 TODDY
 19.32250  61.45430 TOGMI
 13.54397  57.09201 TOKSI
 22.16086  65.17354 TOMBA
 19.34042  59.13460 TOMBU
 16.31129  58.36329 TONSA
 17.19183  69.03430 TONTI
 12.20202  57.08091 TOLPA
 16.12431  59.24448 TORVA

 20.02208  63.19554 UMSOM
 15.23420  66.15270 USIKI
 
 11.38380  57.08160 VADIN
 20.09077  67.20572 VAGAS
 20.34270  63.25070 VALAK
 12.07250  55.31540 VEDAR
 17.38058  59.57166 VERAD
 21.59135  65.07319 VERAG
 16.23263  57.34413 VIBAR

 19.04338  59.39335 XILAN                
    
  
